# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 169577071.42
2                 132897352.86
4                 136725153.36
8                 133412350.28
16                136305695.74
32                120703099.39
64                150375474.45
128               179089219.08
256                95207871.34
512                18105542.07
1024               17545327.70
2048               16548364.50
4096               15717910.65
8192               14209814.69
16384              11182042.55
32768               5839663.71
65536               2938906.36
131072              1470905.75
262144               737709.86
524288               369658.46
1048576              184666.24
2097152               92047.28
4194304               46212.32
