# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 135773248.03
2                 241140969.15
4                 240984834.86
8                 241652815.96
16                238329756.72
32                108294916.41
64                118213221.79
128               126115644.88
256               114970022.23
512               112103521.37
1024              103425743.54
2048               78945079.24
4096               10515090.22
8192                9836051.37
16384               8570304.46
32768               5758234.99
65536               2926017.56
131072              1465292.18
262144               731432.73
524288               365664.72
1048576              182892.79
2097152               91465.70
4194304               45717.32
