# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 851693763.10
2                 780410169.06
4                 810872473.85
8                 778994888.52
16                800236262.40
32                753502042.24
64                773988497.10
128               746461540.80
256               415898042.67
512                74530596.33
1024               71727336.01
2048               67019938.47
4096               63643254.06
8192               56782015.86
16384              44947295.46
32768              23397532.46
65536              11762273.81
131072              5883353.89
262144              2948004.16
524288              1460658.34
1048576              737540.72
2097152              369854.12
4194304              184984.01
