Size,BBSZ=0,BBSZ=512,BBSZ=1024,BBSZ=2048,BBSZ=4096,BBSZ=8192,BBSZ=16384,BBSZ=SHMEMX
1,193433844.62,191855177.0,191702768.28,180063034.98,199543918.35,177115173.26,194416680.97,851693763.1
2,985143965.51,1057548470.96,812325629.79,923383815.21,965020591.36,701902812.0,778531029.82,780410169.06
4,1063472987.82,1075975711.19,917486205.19,940850754.25,952784583.41,674998418.97,837595836.02,810872473.85
8,1056229312.67,1060825843.53,926984668.21,932102254.59,946888911.91,716388484.4,801190355.27,778994888.52
16,1086655039.01,1064852237.03,926352596.7,906766269.57,966279380.57,712776799.01,834103043.27,800236262.4
32,106247200.85,518052227.24,514076978.07,507269091.31,504078280.85,502649494.37,501939438.73,753502042.24
64,105305630.25,579874706.84,557532834.28,582711033.44,560902887.17,555869340.15,570958244.31,773988497.1
128,78901626.06,572860550.49,563932969.38,577272143.7,573335013.58,575001032.69,577228049.34,746461540.8
256,73420920.04,565488439.82,542458519.97,542566796.84,535643487.71,533427690.79,539307386.25,415898042.67
512,71650319.9,539491197.32,526984891.31,531202650.12,520927241.34,523998982.91,520854866.73,74530596.33
1024,69046289.74,68817959.9,488376706.92,477428538.1,480382486.11,481013080.23,477576861.08,71727336.01
2048,64255678.31,64528859.97,63678980.12,337264382.17,334883614.87,337159005.57,333709049.31,67019938.47
4096,60465494.09,60592581.39,60435839.78,59470179.9,185103319.73,185095387.61,183378438.01,63643254.06
8192,55409748.37,55633675.28,55113210.24,55137377.96,51731954.88,89996917.24,88701643.32,56782015.86
16384,44616735.27,44577011.61,44351357.7,44101189.66,41771397.25,39326175.54,48233096.94,44947295.46
32768,24054004.83,24058867.85,24013132.78,24096241.81,23767188.63,23804094.13,23550799.62,23397532.46
65536,11944314.37,11928417.81,11940948.65,11951410.66,11939614.71,11936872.24,11942405.44,11762273.81
131072,5949088.39,5951659.95,5954121.84,5947727.37,5953991.73,5956410.36,5949704.7,5883353.89
262144,2972719.97,2974023.87,2973504.9,2971836.64,2973000.52,2972082.33,2972406.26,2948004.16
524288,1485951.66,1486774.38,1486264.89,1485889.04,1486287.58,1485891.12,1486734.32,1460658.34
1048576,739683.8,741821.23,739948.65,742852.27,739576.8,739292.94,734581.54,737540.72
2097152,371132.22,369660.93,366470.74,366819.74,367251.86,369513.41,370864.09,369854.12
4194304,185488.98,185599.33,185540.61,185527.2,185492.62,185457.78,185510.49,184984.01
