# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 811167652.71
2                 559577862.01
4                 634727453.71
8                 599109914.57
16                632268378.18
32                611576203.45
64                717416652.82
128               752450132.35
256               408379413.60
512                74458587.86
1024               71760334.94
2048               65822305.00
4096               63339928.81
8192               57021145.61
16384              44704330.64
32768              23393376.49
65536              11762159.39
131072              5895191.31
262144              2951112.14
524288              1478252.77
1048576              739527.26
2097152              369881.41
4194304              185016.56
