Size,BBSZ=0,BBSZ=512,BBSZ=1024,BBSZ=2048,BBSZ=4096,BBSZ=8192,BBSZ=16384,BBSZ=SHMEMX
1,207671755.22,223242262.8,209298272.8,209254778.29,228322478.95,221576602.21,203303457.41,721453957.63
2,770209129.97,740913088.29,889119836.91,811843892.55,840690068.98,888026053.52,890834306.37,633272123.12
4,798838139.06,733407993.78,910867094.41,829959897.8,850937203.0,898043637.16,895362177.08,717942514.91
8,817528165.65,734496331.84,917542470.4,839841532.3,841189313.91,891900012.54,956302193.48,689018850.47
16,775017728.13,733126888.98,908447159.59,833578487.72,837608200.96,895736803.11,951017232.56,712302112.09
32,85263224.32,424911190.25,421540910.64,414663399.44,413487338.58,409193896.14,417653970.99,622447356.81
64,84522356.82,442412055.64,461727601.32,460263042.74,445404601.61,448071589.61,450454349.16,706439783.35
128,62580283.48,507414076.01,496460554.23,501763456.14,505853784.7,509491873.1,498860006.66,647538654.34
256,58571507.3,471052006.78,456358308.54,453735569.17,454203870.62,456172766.76,448190114.57,352703378.23
512,57068649.98,461506089.32,457353052.98,452965961.28,449102590.55,449623948.56,446867592.46,58998348.66
1024,55090033.73,54746637.08,412613138.81,398239668.65,405629939.64,407246691.16,407202407.14,56973910.93
2048,51335252.59,51469159.84,51135584.67,310981152.92,309068846.89,308035078.03,307599265.35,53450446.43
4096,48947677.01,48962222.98,48407209.1,48299518.24,179545349.35,179007804.06,179556696.61,50849144.48
8192,45236647.51,45170068.97,45369023.16,45449474.77,43069889.38,84131124.15,84492073.08,46264092.41
16384,39557778.02,39184404.19,39190918.72,39079105.06,36976455.99,34626542.9,46760431.6,40737956.65
32768,23396174.83,23381411.69,23370754.15,23428060.22,23307599.02,23284945.18,23199623.9,23581021.2
65536,11858189.26,11883332.09,11851357.36,11849812.44,11853347.29,11865530.33,11863098.98,11953051.09
131072,5943750.87,5941799.4,5936565.73,5941887.18,5939638.78,5939079.38,5943674.61,5993371.99
262144,2969939.02,2972889.93,2970880.07,2970764.56,2970653.01,2971386.99,2973187.42,3005142.13
524288,1485820.64,1487415.44,1486227.19,1485915.88,1486360.23,1486229.9,1486653.52,1504206.66
1048576,742586.5,743594.11,742851.47,742700.88,742745.67,742523.34,743178.48,752636.34
2097152,371075.98,371721.6,371236.56,371147.66,371173.08,371018.08,371413.71,376437.46
4194304,185457.61,185736.69,185529.15,185495.32,185543.57,185420.97,185626.86,188282.37
